Northern Boulevard,,B (IND),Queens Boulevard Line,"E 
   M 
   R","August 19, 1933[30]"
Ozone Park–Lefferts Boulevard†,,B (IND),Fulton Street Line,A,"April 29, 1956[30]"
Parsons Boulevard**,,B (IND),Queens Boulevard Line,"E 
   F","April 24, 1937[30]"
Queens Plaza**,,B (IND),Queens Boulevard Line,"E 
   M 
   R","August 19, 1933[30]"
Queensboro Plaza***‡,,"A (IRT),
B (BMT)","Astoria Line (BMT), Flushing Line (IRT)","7  <7>
   N 
   Q","November 5, 1916[28]"
Rockaway Boulevard*[^ 6],,B (IND),Fulton Street Line,A,"April 29, 1956[30]"
Rockaway Park–Beach 116th Street†,,B (IND),Rockaway Line,"A 
   S","June 28, 1956[30]"
Seneca Avenue‡,,B (BMT),Myrtle Avenue Line,M,"February 22, 1915[29]"
Steinway Street,,B (IND),Queens Boulevard Line,"E 
   M 
   R","August 19, 1933[30]"
Sutphin Boulevard,,B (IND),Queens Boulevard Line,F,"April 24, 1937[30]"
Sutphin Boulevard–Archer Avenue–JFK Airport***,,,Archer Avenue Lines,"E 
   J 
   Z","December 11, 1988[31][33]"
Vernon Boulevard–Jackson Avenue‡,,A (IRT),Flushing Line,7  <7>,"June 22, 1915[28]"
Woodhaven Boulevard**,,B (BMT),Jamaica Line,"J 
   Z","May 28, 1917[29]"
Woodhaven Boulevard,,B (IND),Queens Boulevard Line,"E 
   M 
   R","December 31, 1936[30]"
61st Street–Woodside**,,A (IRT),Flushing Line,7  <7>,"April 21, 1917[28]"
